Date,Maximum,Minimum,Average
10/1/23,78,51,64.5
10/2/23,75,49,62
10/3/23,84,52,68
10/4/23,86,57,71.5
10/5/23,83,62,72.5
10/6/23,75,63,69
10/7/23,70,49,59.5
10/8/23,60,49,54.5
10/9/23,60,48,54
10/10/23,62,48,55
10/11/23,57,49,53
10/12/23,62,42,52
10/13/23,61,39,50
10/14/23,59,46,52.5
10/15/23,54,48,51
10/16/23,59,50,54.5
10/17/23,56,48,52
10/18/23,60,48,54
10/19/23,64,48,56
10/20/23,66,56,61
10/21/23,58,49,53.5
10/22/23,49,43,46
10/23/23,50,37,43.5
10/24/23,58,35,46.5
10/25/23,68,57,62.5
10/26/23,67,57,62
10/27/23,73,53,63
10/28/23,67,46,56.5
10/29/23,46,42,44
10/30/23,43,37,40
10/31/23,43,30,36.5